希釈率	粘度	ガンスピード	吹付距離	霧化エアー圧	パターン幅	吐出量	塗料温度	温度	湿度	塗着率	中心膜厚	膜厚幅
x1	x2	x3	x4	x5	x6	x7	x8	x9	x10	y1	y2	y3
kishaku	nendo	gunspeed	fukituke	airpres	patternwid	hakidashi	toryotemp	temp	moisture	tochaku	centmaku	makuwid
16.7	50.0	8.3	30.0	2.1	2.2	112.0	10.0	10.5	39.0	50.4	30.0	6.6
16.7	50.0	5.0	40.0	3.0	2.0	112.0	10.0	10.5	39.0	40.2	30.0	8.8
16.7	57.5	8.3	20.0	4.0	4.0	104.0	7.0	6.0	73.0	41.5	25.0	6.2
16.7	57.5	8.3	20.0	4.1	5.5	104.0	7.0	6.0	73.0	32.3	17.5	7.9
16.7	50.0	8.3	30.0	3.0	5.2	112.0	10.0	10.5	39.0	27.2	7.0	19.0
16.7	50.0	8.3	40.0	5.0	5.1	112.0	10.0	10.5	39.0	24.0	9.0	9.4
16.7	57.5	8.3	30.0	3.0	4.0	224.0	6.0	5.5	77.0	40.8	21.0	18.5
16.7	36.5	5.0	30.0	2.0	3.0	108.0	23.0	10.5	39.0	30.8	12.5	19.0
16.7	35.0	5.0	40.0	5.0	5.5	108.0	25.0	10.5	39.0	7.3	12.0	11.4
16.7	36.5	5.0	40.0	3.0	4.0	200.0	20.0	10.5	39.0	13.3	20.0	12.0
16.7	28.0	8.3	40.0	4.5	1.0	128.0	33.0	10.5	39.0	19.5	46.5	4.6
16.7	35.0	8.3	30.0	2.1	3.0	112.0	25.0	20.0	25.0	35.2	9.0	17.0
16.7	29.0	8.3	20.0	3.0	5.5	264.0	25.0	7.5	72.0	39.4	23.0	18.8
16.7	35.0	4.9	40.0	5.0	2.9	168.0	25.0	20.0	25.0	28.7	26.0	11.2
16.7	35.8	8.3	30.0	4.0	3.0	176.0	23.0	20.0	25.0	42.1	35.0	7.0
16.7	28.0	8.3	40.0	2.8	5.0	112.0	32.0	22.0	29.0	19.6	5.5	23.0
33.0	35.0	4.9	20.0	2.0	4.0	124.0	8.0	7.0	30.0	37.8	20.5	13.4
33.0	35.0	4.9	20.0	3.0	4.9	124.0	8.0	7.0	30.0	41.2	26.0	12.0
33.0	35.0	8.3	20.0	4.9	4.9	108.0	8.0	7.0	30.0	37.0	20.0	6.4
33.0	28.6	4.9	40.0	2.0	3.0	120.0	20.0	19.0	30.0	19.8	7.5	20.6
33.0	28.6	4.9	40.0	4.0	3.0	120.0	20.0	19.0	30.0	23.7	18.0	8.4
33.0	28.3	6.7	40.0	3.0	5.0	208.0	20.0	19.0	30.0	19.3	13.0	9.4
33.0	28.3	6.7	40.0	5.0	5.0	318.0	20.0	19.0	30.0	27.2	14.5	23.2
33.0	28.3	8.3	40.0	2.0	3.0	318.0	20.0	19.0	30.0	22.8	17.0	9.0
33.0	25.0	8.3	40.0	4.0	4.1	240.0	34.0	22.5	25.0	18.4	10.5	15.0
33.0	25.5	6.5	40.0	4.0	4.0	276.0	20.0	22.5	25.0	17.8	11.0	20.8
44.0	29.5	4.9	40.0	5.0	3.9	144.0	6.7	7.0	30.0	23.2	16.0	9.0
44.0	29.5	6.5	30.0	2.1	5.0	120.0	6.7	7.0	30.0	21.7	11.5	7.4
44.0	29.5	6.5	30.0	4.9	5.0	180.0	6.7	7.0	30.0	54.8	22.0	12.6
44.0	29.5	6.5	40.0	4.0	4.0	200.0	6.7	7.0	30.0	28.5	37.8	13.4
44.0	29.5	8.3	40.0	2.1	2.2	200.0	7.0	7.0	30.0	37.8	12.5	21.8
44.0	25.8	6.7	40.0	4.1	5.0	132.0	22.0	8.2	46.0	13.4	3.5	20.6
44.0	26.7	8.3	30.0	4.0	5.0	300.0	19.0	7.0	30.0	29.3	17.5	17.0
44.0	24.2	5.0	30.0	2.0	5.0	108.0	28.0	22.5	25.0	19.8	8.0	14.8
44.0	24.2	5.0	40.0	4.0	5.0	210.0	28.0	22.5	25.0	14.5	10.0	16.4
44.0	24.2	6.7	40.0	4.0	5.0	222.0	30.0	22.5	25.0	12.6	6.0	20.0
44.0	24.2	6.7	40.0	4.0	3.0	222.0	30.0	22.5	25.0	22.8	15.0	14.0
44.0	24.2	8.3	40.0	3.0	2.0	210.0	22.5	22.5	25.0	33.2	20.0	9.4
