year	exr	cpi	wage
1970	360.00	35.1	19.20
1971	335.47	37.1	21.80
1972	297.23	39.3	25.50
1973	273.80	45.4	31.00
1974	292.64	54.8	40.00
1975	290.04	60.5	45.00
1976	292.43	66.3	50.30
1977	256.74	70.7	54.50
1978	201.44	73.5	57.60
1979	229.50	77.1	61.20
1980	217.40	83.0	64.80
1981	227.38	86.2	68.20
1982	249.66	88.5	71.20
1983	236.39	90.2	72.90
1984	244.19	92.1	75.40
1985	221.09	93.9	77.70
1986	159.83	93.9	79.50
1987	138.33	94.4	81.10
1988	128.27	95.1	84.20
1989	142.82	97.8	87.70
1990	141.30	100.9	91.70
1991	133.18	103.7	94.80
1992	124.80	105.4	96.10

