price	bus_min	walk_min	shikirei	area	years	floor	ac	closet	flooring	balcony	train_min	num_exchange	num_stations	train_fare	km	station
70000	0	1	4	16.42	10	0	0	0	0	0	1	1	1	140	0.8	minami_shinjuku
79000	0	1	4	19.68	7	0	0	1	0	1	1	1	1	140	0.8	minami_shinjuku
79000	0	1	4	19	6	0	1	1	0	0	1	1	1	140	0.8	minami_shinjuku
90000	0	6	5	19.44	0	1	1	1	1	1	1	1	1	140	0.8	minami_shinjuku
90000	0	6	5	18.23	0	1	1	1	1	1	1	1	1	140	0.8	minami_shinjuku
96000	0	6	5	22.88	0	1	1	1	1	1	1	1	1	140	0.8	minami_shinjuku
98000	0	6	5	22.88	0	1	1	1	1	1	1	1	1	140	0.8	minami_shinjuku
65000	0	5	4	18.63	11	0	1	1	0	0	3	1	2	140	1.5	sangu_bashi
80000	0	2	4	23	8	0	1	0	1	0	3	1	2	140	1.5	sangu_bashi
86000	0	6	4	18.15	0	1	1	1	1	1	3	1	2	140	1.5	sangu_bashi
76000	0	7	4	18.37	8	1	1	1	1	0	3	1	2	140	1.5	sangu_bashi
83000	0	8	4	25.01	10	1	1	1	1	1	3	1	2	140	1.5	sangu_bashi
75000	0	6	4	18	4	1	1	1	1	0	3	1	2	140	1.5	sangu_bashi
59000	0	8	3	11.13	11	1	1	1	0	1	3	1	2	140	1.5	sangu_bashi
55000	0	8	4	11.13	10	1	1	0	0	1	3	1	2	140	1.5	sangu_bashi
77000	0	2	4	23	8	0	1	1	1	0	3	1	2	140	1.5	sangu_bashi
62200	0	8	3	11.13	11	1	1	1	0	1	3	1	2	140	1.5	sangu_bashi
62200	0	8	3	11.13	11	1	1	1	0	1	3	1	2	140	1.5	sangu_bashi
73000	0	8	4	15	9	1	1	1	0	1	5	1	3	140	2.7	yoyogi_hachiman
72000	0	6	4	15.6	10	1	1	0	1	1	5	1	3	140	2.7	yoyogi_hachiman
98000	0	2	4	22.36	10	0	0	1	0	1	5	1	3	140	2.7	yoyogi_hachiman
110000	0	4	4	23.08	6	0	1	1	1	0	5	1	3	140	2.7	yoyogi_hachiman
150000	0	6	4	40.42	8	1	1	1	1	0	5	1	3	140	2.7	yoyogi_hachiman
82000	0	7	4	20.95	8	0	1	0	1	0	5	1	3	140	2.7	yoyogi_hachiman
100000	0	5	4	23.8	6	1	1	1	0	1	5	1	3	140	2.7	yoyogi_hachiman
125000	0	3	4	25.71	2	1	1	1	1	0	5	1	3	140	2.7	yoyogi_hachiman
59000	0	10	4	14.12	12	1	1	1	1	1	5	1	3	140	2.7	yoyogi_hachiman
69000	0	4	4	18.12	10	1	1	1	0	0	5	1	3	140	2.7	yoyogi_hachiman
84000	0	7	4	23.44	6	1	0	1	1	1	5	1	3	140	2.7	yoyogi_hachiman
75000	0	10	3	14.12	12	1	0	0	0	1	5	1	3	140	2.7	yoyogi_hachiman
82000	0	7	4	22.13	6	0	0	1	1	1	5	1	3	140	2.7	yoyogi_hachiman
75000	0	8	4	18.81	10	1	1	1	1	1	5	1	3	140	2.7	yoyogi_hachiman
100000	0	3	4	26.4	3	1	1	0	1	1	5	1	3	140	2.7	yoyogi_hachiman
75000	0	10	4	19	8	1	1	0	0	0	5	2	0	140	3.5	yoyogi_uehara
79000	0	8	4	19.8	8	1	1	1	1	1	5	2	0	140	3.5	yoyogi_uehara
86000	0	9	4	23.89	0	1	1	1	1	1	5	2	0	140	3.5	yoyogi_uehara
115000	0	1	4	28.3	1	1	1	1	1	1	5	2	0	140	3.5	yoyogi_uehara
145000	0	5	4	34.44	0	1	1	1	1	1	5	2	0	140	3.5	yoyogi_uehara
161000	0	5	4	36.75	0	1	1	1	1	1	5	2	0	140	3.5	yoyogi_uehara
40000	0	3	4	12	21	1	0	0	1	1	5	2	0	140	3.5	yoyogi_uehara
75000	0	10	4	19	8	1	1	1	0	1	5	2	0	140	3.5	yoyogi_uehara
85000	0	7	4	21.42	4	1	1	1	1	1	5	2	0	140	3.5	yoyogi_uehara
125000	0	5	4	29.6	5	1	1	1	1	1	5	2	0	140	3.5	yoyogi_uehara
68000	0	5	4	17	8	0	1	1	1	1	5	2	0	140	3.5	yoyogi_uehara
79000	0	1	4	20.98	10	1	1	0	0	1	5	2	0	140	3.5	yoyogi_uehara
87000	0	3	4	20	0	1	1	1	1	1	5	2	0	140	3.5	yoyogi_uehara
74000	0	4	3	20	3	1	1	1	1	1	5	2	0	140	3.5	yoyogi_uehara
96000	0	5	4	26	0	1	1	1	1	1	5	2	0	140	3.5	yoyogi_uehara
85000	0	3	4	20	0	1	1	1	1	1	5	2	0	140	3.5	yoyogi_uehara
100000	0	5	4	25.97	0	0	1	1	1	1	5	2	0	140	3.5	yoyogi_uehara
110000	0	5	4	23.08	6	0	1	1	1	0	5	2	0	140	3.5	yoyogi_uehara
109000	0	5	4	28.7	0	1	1	1	1	1	5	2	0	140	3.5	yoyogi_uehara
