Date,MMM,AXP,T,BA,CAT,CVX,CSCO,KO,DD,XOM,GE,GS,HD,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,VZ,V,WMT,DIS
1/2/13,92.09,58.07,32.83,75.14,91.02,105.93,19.74,36.26,44.12,85.75,20.49,129.51,61.83,20.37,191.56,68.26,43.45,86.53,39.54,26.61,50.98,24.87,66.79,70.73,53.49,81.74,41.93,153.9,67.15,50.48
1/3/13,91.98,58.32,32.85,75.53,91.9,105.48,19.85,36.26,43.56,85.59,20.26,128.8,61.66,20.31,190.51,68.16,43.37,87.02,40.49,26.25,51.5,24.81,66.37,71.28,50.99,82.04,41.74,154.01,66.72,50.59
1/4/13,92.66,58.92,33.05,75.75,92.41,106.04,19.88,36.32,43.98,85.99,20.36,132.31,61.54,20.16,189.26,68.94,44.14,86.27,40.14,25.76,52,24.91,66.5,71.9,51.09,82.69,41.96,155.27,66.97,51.55
1/7/13,92.78,59.17,33.2,74.23,92.69,105.32,19.69,35.97,44.05,84.99,20.29,132.07,61.21,20.24,188.43,68.8,44.18,87.29,40.29,25.71,52.08,24.93,66.05,70.93,51.09,82.29,42.33,156.38,66.33,50.35
1/8/13,92.79,59.5,32.64,72.28,91.51,104.85,19.71,35.72,44.29,85.52,20.07,130.88,61.58,20.09,188.17,68.81,44.27,87.32,40.34,25.58,51.53,24.97,65.94,71.05,50.41,81.3,41.3,157.84,66.52,50.14
1/9/13,93.67,59.56,32.53,74.84,91.94,105.12,19.7,35.71,44.66,85.19,20.12,132.13,61.53,20.43,187.63,69.12,44.24,87.19,40.74,25.72,51.58,25.4,66.3,71.78,51.36,82.27,41.21,160.24,66.5,50.16
1/10/13,94.14,60.09,32.66,75.16,92.56,106.01,19.84,35.65,44.43,86.12,20.33,135.13,61.97,20.77,188.18,69.56,44.9,87.76,40.92,25.49,51.68,25.68,66.67,72.28,52.09,82.68,41.77,158.98,66.29,50.17
1/11/13,93.55,60.53,32.56,73.28,92.67,107.22,19.88,35.6,44.38,86.62,20.29,134.89,62.05,20.96,189.71,69.72,44.89,88.08,41.35,25.85,52.22,25.45,66.63,72.66,51.8,82.88,41.49,159.62,66.56,49.96
1/14/13,94.32,60.5,32.32,74.63,92.12,108.29,20.35,35.67,44.5,86.59,20.28,133.91,61.83,20.96,187.92,69.92,44.64,87.88,41.45,25.91,52.31,25.66,67.02,72.76,52.33,83.49,40.81,159.11,66.24,49.97
1/15/13,94.53,60.06,32.08,75.02,93.14,108.86,20.36,35.99,44.48,86.54,20.36,133.38,62.29,20.84,187.81,69.74,45.1,87.86,41,26.21,52.75,25.55,67.26,73.35,52.59,83.64,40.22,158.92,66.89,50.47
