data_id	treat	age	education	black	hispanic	married	nodegree	re74	re75	re78
CPS3	0	30	12	0	0	1	0	20166.73046875	18347.23046875	25564.669921875
CPS3	0	26	12	0	0	1	0	25862.3203125	17806.55078125	25564.669921875
CPS3	0	25	16	0	0	1	0	25862.3203125	15316.2099609375	25564.669921875
CPS3	0	42	11	0	0	1	1	21787.05078125	14265.2900390625	15491.009765625
CPS3	0	25	9	1	0	1	1	14829.6904296875	13776.5302734375	0
CPS3	0	37	9	1	0	1	1	13685.48046875	12756.0498046875	17833.19921875
CPS3	0	32	12	0	0	1	0	19067.580078125	12625.349609375	14146.2802734375
CPS3	0	20	12	1	0	0	0	7392.31396484375	12396.1904296875	17765.23046875
CPS3	0	38	9	0	1	1	1	16826.1796875	12029.1796875	0
CPS3	0	39	10	0	0	1	1	16767.41015625	12022.01953125	4433.18017578125
CPS3	0	41	5	0	0	1	1	10785.759765625	11991.580078125	19451.310546875
CPS3	0	31	14	0	0	1	0	17831.2890625	11563.6904296875	22094.970703125
CPS3	0	34	8	0	0	1	1	8038.8720703125	11404.349609375	5486.798828125
CPS3	0	29	12	0	0	1	0	14768.9501953125	11146.5498046875	6420.72216796875
CPS3	0	22	14	1	0	1	0	748.43988037109375	11105.3701171875	18208.55078125
CPS3	0	42	0	0	1	1	1	2797.8330078125	10929.919921875	9922.93359375
CPS3	0	25	9	0	1	0	1	5460.47705078125	10589.759765625	7539.36083984375
CPS3	0	28	9	0	0	1	1	11091.41015625	10357.01953125	15406.7802734375
CPS3	0	40	13	0	0	1	0	3577.62109375	10301.51953125	11911.9501953125
CPS3	0	35	9	0	0	1	1	11475.4296875	9397.4033203125	11087.3798828125
CPS3	0	27	10	0	1	1	1	15711.3603515625	9098.4189453125	17023.41015625
CPS3	0	27	6	0	1	1	1	7831.18896484375	9071.5654296875	5661.1708984375
CPS3	0	36	12	0	0	1	0	25535.119140625	8695.5966796875	21905.8203125
CPS3	0	47	8	1	0	1	1	9275.1689453125	8543.4189453125	0
