P	TM	Yr	CT	NP	DEAL	KM
219	1	2	9	204	0	2.3
158	1	3	24	204	0	0
128	1	6	24	189	0	4
99	0	5	1	198	0	0
98	0	4	5	198	0	0
79	0	5	2	198	0	4.1
78	1	6	8	189	0	5.4
218	1	2	10	204	0	1.9
198	1	2	14	204	0	0
189	1	2	10	204	1	2.2
183	1	2	12	204	0	4.2
177	1	3	0	204	0	0
176	0	2	19	214	1	1.7
176	1	3	24	204	0	0
176	1	3	1	204	0	0
172	1	3	18	204	0	0
166	0	3	24	214	1	2.6
165	1	3	1	204	0	3
159	0	2	8	214	0	1.3
158	1	4	6	189	0	4.2
154	1	4	8	189	0	4.5
148	1	3	5	204	0	0
148	1	4	4	189	0	3.1
148	1	5	24	189	0	5.7
143	1	4	10	189	0	0
142	1	4	7	189	0	0
139	1	4	9	189	0	5.1
139	1	4	11	189	0	0
139	1	4	4	189	0	0
139	1	5	20	189	0	0
138	1	5	6	189	0	0
135	0	4	12	198	1	2.8
135	1	5	14	189	0	0
129	1	5	20	189	0	0
129	1	5	0	189	1	3.7
125	1	5	0	189	0	0
123	1	5	4	189	0	0
123	1	6	10	189	0	4.4
115	1	5	24	189	0	0
115	1	6	13	189	0	3.6
98	1	6	7	189	0	0
98	1	6	14	189	0	0
97	0	5	24	198	0	5.5
95	0	5	7	198	0	5.2
89	0	5	12	198	0	0
85	0	5	12	198	0	5.1
79	0	4	11	198	0	0
238	1	2	13	204	0	1.5
198	1	2	5	204	0	1.1
198	1	3	24	204	0	0
198	1	3	24	204	0	2.5
189	1	2	6	204	0	3.1
189	1	1	4	204	0	1.4
189	1	2	5	204	0	2.2
189	1	3	24	204	0	2.6
179	1	2	3	204	0	2
179	1	3	0	204	0	0
178	1	3	0	204	0	0
168	1	3	24	204	0	4.9
168	1	3	24	204	1	2.3
165	1	3	12	204	0	3.7
159	1	3	24	204	0	0
159	1	3	17	204	0	4.7
159	1	4	4	189	0	5.2
158	1	1	8	204	0	2
149	1	3	4	204	0	0.9
149	1	4	12	189	0	0
145	1	4	4	189	0	0
139	1	3	0	204	0	4.4
139	1	5	5	189	0	0
139	1	5	14	189	0	0
139	1	5	16	189	0	0
138	1	5	2	189	0	3.1
135	1	4	11	189	0	3.8
135	1	4	4	189	0	0
129	0	3	24	214	0	3.1
129	1	4	6	189	0	6
129	1	5	0	189	0	4.7
128	0	3	24	214	0	3.2
128	1	6	4	189	0	4.3
125	0	3	24	214	0	1.3
123	1	4	5	189	0	0
122	0	3	14	214	0	3.9
118	1	6	8	189	0	7.5
115	1	5	0	189	0	4.6
102	1	5	24	189	0	0
100	1	6	10	189	0	0
98	1	5	13	189	0	5.2
98	1	6	11	189	0	4.9
98	1	6	0	189	0	4.1
95	0	5	24	198	0	3.2
88	0	6	11	198	0	5.3
88	0	5	0	198	1	4.7
88	0	6	24	198	0	0
87	0	6	24	198	0	4.2
79	0	5	1	198	0	0
69	0	5	0	198	0	3.7
69	0	6	11	198	0	5.5
59	0	5	0	198	0	0
229	1	2	13	204	0	0.9
219	1	2	3	204	0	2.4
219	1	1	23	204	0	0
219	1	1	15	204	0	1
215	1	1	16	204	0	0
209	1	1	23	204	0	1.6
208	1	1	20	204	0	1.1
208	1	2	12	204	0	1.7
199	1	1	20	204	0	0
198	1	2	5	204	0	1.9
198	1	3	24	204	0	0
195	1	2	4	204	0	3.4
193	1	2	12	204	0	0
193	1	3	0	204	0	3.3
189	1	1	20	204	0	0
189	1	1	15	204	0	0
189	1	2	5	204	0	1.2
189	1	2	4	204	0	1.5
189	1	3	0	204	0	2.2
189	1	3	24	204	0	1.4
185	1	1	22	204	0	0
185	1	2	14	204	0	1.2
183	1	2	4	204	0	0
179	1	2	14	204	0	0.6
179	1	3	24	204	0	0
179	1	3	0	204	0	2.7
178	1	5	1	189	0	0
175	1	3	17	204	0	0
168	1	3	0	204	0	2.6
165	1	3	24	204	0	3.8
165	1	3	0	204	0	0
159	1	3	22	204	0	3
159	1	5	24	189	0	2.2
159	1	5	2	189	0	0
158	1	3	1	204	0	0
149	1	4	8	189	0	3.4
149	1	4	5	189	0	0
145	1	5	24	189	0	0
139	1	4	7	189	0	3.4
139	1	4	9	189	0	0
139	1	5	24	189	0	4.2
139	1	6	2	189	0	4.9
138	1	5	0	189	0	0
138	1	5	0	189	0	3.4
135	1	5	24	189	0	0
135	1	5	24	189	1	1.8
