pressure	magvolt	genvolt	speed
-1.5283	2.0584	0.5773	-0.1227
1.4412	-2.0050	0.7580	-0.0861
1.4314	2.0584	-0.7658	-0.1984
1.4412	-1.9806	0.4772	-0.2058
-1.5332	-2.0050	-0.7780	-0.1301
-1.5429	2.0780	-0.9099	-0.1130
-1.5429	-2.0002	0.6677	0.0067
1.4314	2.0584	-0.6657	0.0287
1.4363	2.0584	0.6140	-0.1227
-1.5283	-1.9709	0.7336	-0.1105
1.4412	-1.9953	-0.7047	-0.1105
-1.5429	-1.9904	-0.9025	-0.0226
1.4607	-1.9757	-0.8952	-0.0837
1.4265	-2.0050	-0.9050	0.0213
-1.5381	2.0633	-0.8879	0.0262
1.4412	2.0633	0.7287	0.0384
1.4412	2.0584	0.9949	0.0775
1.4461	-2.0002	1.0633	0.1215
1.4314	2.0584	-0.5069	0.1581
-1.5234	-2.0002	0.9339	0.2094
1.4607	-2.0050	-0.4874	0.2607
-1.5136	-2.0002	-0.6876	0.2802
1.4314	2.0633	-0.7120	0.2607
-1.5185	2.0633	0.9436	0.2338
1.4461	-2.0050	1.1732	0.2265
1.4412	-2.0002	-0.4410	0.2997
-1.5527	2.0584	-0.6779	0.2704
-1.5332	-1.9757	0.9607	0.2753
-1.5381	2.0584	-0.4581	0.2387
1.4412	-1.9904	0.9705	0.2558
-1.5381	2.0633	-0.5484	0.1386
-1.5185	-2.0002	0.7654	0.0335
1.4363	2.0633	-0.6510	0.0042
-1.5088	-2.0050	0.5920	-0.1081
-1.5381	-2.0002	-0.7682	-0.1252
-1.5429	-2.0002	-0.9904	-0.2009
1.4314	2.0682	-1.0539	-0.3059
-1.5381	2.0584	0.3282	-0.3792
-1.5332	2.0584	0.5016	-0.3743
-1.5185	2.0829	0.5578	-0.3401
-1.5185	-1.9757	0.4748	-0.3840
1.4363	2.0584	-0.9416	-0.4085
-1.5332	-2.0002	0.2184	-0.4207
-1.5429	-2.0002	-0.9856	-0.4890
-1.5429	2.0731	-1.1589	-0.4671
-1.5625	-2.0002	0.1793	-0.4378
-1.5576	2.0633	-1.0393	-0.5525
-1.5381	2.0584	0.1353	-0.5110
1.4216	-2.0002	0.2623	-0.5843
1.4216	2.0584	-1.0588	-0.5354
-1.5429	-2.0002	0.1964	-0.4988
1.4558	2.0584	-0.9440	-0.4353
1.4363	2.0633	0.3966	-0.2790
1.4412	-2.0148	0.6872	-0.1520
1.4314	2.0389	-0.7023	-0.1301
-1.5332	2.0682	0.6799	0.0360
-1.5234	2.0584	0.9290	0.0555
1.4510	-2.0002	0.9998	0.1068
1.4412	-2.0002	-0.5777	0.0360
-1.5381	2.0584	-0.8073	0.0555
1.4412	-2.0002	0.7971	0.1141
1.4363	-2.0002	-0.5582	0.1532
-1.5332	2.0633	-0.7487	0.1679
1.4265	2.0584	0.8753	0.1898
1.4510	2.0829	1.0804	0.1923
1.4510	-2.0050	1.1488	0.1996
-1.5185	2.0877	-0.4459	0.2045
-1.5283	2.0584	0.9778	0.2924
-1.5234	-1.9953	1.1585	0.2704
1.4265	2.0633	-0.4605	0.2460
1.4412	-1.9953	0.8289	0.1117
-1.5332	-2.0002	-0.6193	0.0751
-1.5185	2.0633	-0.8146	0.0213
-1.5283	-1.9904	0.7409	0.0262
1.4363	2.0487	-0.6876	-0.0080
1.4314	2.0584	0.5554	-0.1960
1.4412	2.0682	0.6970	-0.1545
-1.5136	-2.0002	0.7996	-0.1032
-1.5185	-2.0002	-0.6510	0.0262
1.4314	2.0536	-0.8244	0.0116
1.4412	2.0536	0.7580	0.0433
1.4461	2.0389	0.9558	0.0824
1.4461	-2.0148	1.0267	0.1386
-1.5381	-1.9904	-0.5094	0.1849
1.4314	-1.9904	-0.7169	0.2094
-1.5381	-2.0002	-0.7291	0.1923
-1.5429	-1.9953	-0.7316	0.2118
-1.5283	2.0633	-0.7194	0.2118
-1.5283	2.0584	0.8704	0.2289
-1.5136	2.0584	0.9217	0.0116
1.4461	2.0584	0.7996	-0.0568
-1.5136	-1.9757	0.7141	-0.2278
-1.5429	-2.0050	-0.7902	-0.2497
-1.5381	2.0584	-1.0393	-0.2229
1.4363	2.0633	0.3307	-0.3157
1.4461	2.0633	0.4699	-0.3938
1.4412	2.0584	0.4821	-0.3743
-1.5136	-1.9660	0.6311	-0.2448
-1.5576	-2.0002	-0.7487	-0.1227
1.4363	2.0584	-0.9099	-0.0934
1.4363	-2.0050	0.6579	-0.0397
-1.5381	2.0584	-0.6705	0.0238
1.4412	2.0633	0.7336	-0.0129
1.4461	-2.0002	0.9339	0.0531
1.4314	2.0682	-0.5655	0.1092
1.4461	2.0633	0.8704	0.1654
-1.5185	-1.9953	1.0657	0.1874
1.4412	2.0536	-0.4776	0.1923
1.4412	2.0829	0.9607	0.1923
-1.5185	2.0487	1.1585	0.2875
-1.5283	2.0584	1.1903	0.2851
1.4607	-1.9757	1.1952	0.2826
1.4363	-2.0002	-0.4483	0.1996
-1.5381	-1.9953	-0.6852	0.2484
-1.5185	-1.9757	-0.7047	0.2582
-1.5332	-2.0002	-0.7169	0.2802
-1.5332	-1.9953	-0.7267	0.2313
1.4265	-2.0197	-0.8048	0.1288
-1.5185	2.0633	-0.9099	-0.0373
-1.5283	2.0682	0.5920	-0.0739
1.4412	2.0584	0.7483	-0.1325
-1.5088	2.0877	0.6799	-0.1618
1.4363	2.0536	0.6530	-0.2033
-1.5283	-2.0002	0.6579	-0.2693
1.4265	-2.0050	-0.8097	-0.2302
1.4314	2.0584	-1.0393	-0.2400
1.4363	-2.0002	0.4088	-0.2448
