language	article	date	views
808	en	fifa	2013-03-18	2204
809	en	fifa	2013-03-19	2497
810	en	fifa	2013-03-20	2375
811	en	fifa	2013-03-21	2615
812	en	fifa	2013-03-22	2769
813	en	fifa	2013-03-23	2843
814	en	fifa	2013-03-24	2406
815	en	fifa	2013-03-25	2674
816	en	fifa	2013-03-26	3210
817	en	fifa	2013-03-27	3565
818	en	fifa	2013-03-28	2548
819	en	fifa	2013-03-29	2205
820	en	fifa	2013-03-30	1867
821	en	fifa	2013-03-31	1867
822	en	fifa	2013-04-01	1995
823	en	fifa	2013-04-02	2206
824	en	fifa	2013-04-03	2174
825	en	fifa	2013-04-04	2047
826	en	fifa	2013-04-05	2131
827	en	fifa	2013-04-06	1800
828	en	fifa	2013-04-07	1687
829	en	fifa	2013-04-08	1964
830	en	fifa	2013-04-09	1960
831	en	fifa	2013-04-10	2038
832	en	fifa	2013-04-11	2221
833	en	fifa	2013-04-12	2058
834	en	fifa	2013-04-13	1836
835	en	fifa	2013-04-14	1851
836	en	fifa	2013-04-15	2019
837	en	fifa	2013-04-16	2034
838	en	fifa	2013-04-17	2071
839	en	fifa	2013-04-18	2117
840	en	fifa	2013-04-19	1787
841	en	fifa	2013-04-20	1546
842	en	fifa	2013-04-21	1580
843	en	fifa	2013-04-22	2111
844	en	fifa	2013-04-23	2313
845	en	fifa	2013-04-24	2244
846	en	fifa	2013-04-25	2249
847	en	fifa	2013-04-26	1903
848	en	fifa	2013-04-27	1752
849	en	fifa	2013-04-28	1837
850	en	fifa	2013-04-29	2039
851	en	fifa	2013-04-30	2609
852	en	fifa	2013-05-01	2274
853	en	fifa	2013-05-02	2321
854	en	fifa	2013-05-03	2003
855	en	fifa	2013-05-04	1632
856	en	fifa	2013-05-05	1718
857	en	fifa	2013-05-06	2210
858	en	fifa	2013-05-07	2037
859	en	fifa	2013-05-08	2220
860	en	fifa	2013-05-09	2164
861	en	fifa	2013-05-10	1836
862	en	fifa	2013-05-11	1639
863	en	fifa	2013-05-12	2152
864	en	fifa	2013-05-13	2328
865	en	fifa	2013-05-14	2183
866	en	fifa	2013-05-15	2660
867	en	fifa	2013-05-16	2930
868	en	fifa	2013-05-17	2094
869	en	fifa	2013-05-18	1750
870	en	fifa	2013-05-19	1892
871	en	fifa	2013-05-20	2049
872	en	fifa	2013-05-21	2456
873	en	fifa	2013-05-22	2152
874	en	fifa	2013-05-23	2347
875	en	fifa	2013-05-24	2372
876	en	fifa	2013-05-25	2379
877	en	fifa	2013-05-26	2382
878	en	fifa	2013-05-27	2429
879	en	fifa	2013-05-28	2658
880	en	fifa	2013-05-29	2641
881	en	fifa	2013-05-30	2623
882	en	fifa	2013-05-31	2522
883	en	fifa	2013-06-01	2414
884	en	fifa	2013-06-02	2212
885	en	fifa	2013-06-03	2494
886	en	fifa	2013-06-04	2717
887	en	fifa	2013-06-05	2688
888	en	fifa	2013-06-06	2754
889	en	fifa	2013-06-07	2562
890	en	fifa	2013-06-08	2545
891	en	fifa	2013-06-09	2312
892	en	fifa	2013-06-10	2523
893	en	fifa	2013-06-11	3053
894	en	fifa	2013-06-12	3195
895	en	fifa	2013-06-13	2527
896	en	fifa	2013-06-14	2679
897	en	fifa	2013-06-15	3415
898	en	fifa	2013-06-16	3999
899	en	fifa	2013-06-17	4137
900	en	fifa	2013-06-18	4064
901	en	fifa	2013-06-19	4111
902	en	fifa	2013-06-20	4174
903	en	fifa	2013-06-21	4024
904	en	fifa	2013-06-22	3657
905	en	fifa	2013-06-23	3771
906	en	fifa	2013-06-24	3583
907	en	fifa	2013-06-25	3165
908	en	fifa	2013-06-26	3273
909	en	fifa	2013-06-27	3679
910	en	fifa	2013-06-28	3300
911	en	fifa	2013-06-29	2556
912	en	fifa	2013-06-30	3895
913	en	fifa	2013-07-01	4788
914	en	fifa	2013-07-02	2834
915	en	fifa	2013-07-03	2345
916	en	fifa	2013-07-04	2323
917	en	fifa	2013-07-05	2037
918	en	fifa	2013-07-06	1971
919	en	fifa	2013-07-07	2136
920	en	fifa	2013-07-08	2309
921	en	fifa	2013-07-09	2057
922	en	fifa	2013-07-10	2273
923	en	fifa	2013-07-11	2102
924	en	fifa	2013-07-12	1948
925	en	fifa	2013-07-13	2085
926	en	fifa	2013-07-14	1948
927	en	fifa	2013-07-15	1989
928	en	fifa	2013-07-16	1875
929	en	fifa	2013-07-17	1944
930	en	fifa	2013-07-18	2299
931	en	fifa	2013-07-19	1828
